abyssal_underlord_dark_rift | NO_NAME | 孽主
abyssal_underling_warrior_last_will | NO_NAME | 孽主
abyssal_underling_warrior_mana_burn | NO_NAME | 孽主
abyssal_underling_archer_aoe | NO_NAME | 孽主
ancient_apparition_ice_age | NO_NAME | 远古冰魂
antimage_spell_shield | NO_NAME | 敌法师
batrider_stoked | NO_NAME | 蝙蝠骑士
beastmaster_call_of_the_wild | NO_NAME | 兽王
beastmaster_hawk_perch | NO_NAME | 兽王
beastmaster_call_of_the_wild_hawk_attack | NO_NAME | 兽王
beastmaster_hawk_invisibility | NO_NAME | 兽王
bounty_hunter_lookout | NO_NAME | 赏金猎人
brewmaster_drunken_haze | NO_NAME | 酒仙
bristleback_bristleback | NO_NAME | 钢背兽
bristleback_prickly | NO_NAME | 钢背兽
bristleback_warpath | NO_NAME | 钢背兽
broodmother_silken_bola | NO_NAME | 育母蜘蛛
chen_test_of_faith | NO_NAME | 陈
chen_test_of_faith_teleport | NO_NAME | 陈
clinkz_empty1 | NO_NAME | 克林克兹
crystal_maiden_let_it_go | NO_NAME | 水晶室女
dawnbreaker_luminosity | NO_NAME | 破晓辰星
dawnbreaker_unbreakable | NO_NAME | 破晓辰星
dazzle_weave | NO_NAME | 戴泽
dazzle_bad_juju | NO_NAME | 戴泽
dazzle_good_juju | NO_NAME | 戴泽
death_prophet_witchcraft | NO_NAME | 死亡先知
death_prophet_innate_healing_mastery | NO_NAME | 死亡先知
drow_ranger_silence | NO_NAME | 卓尔游侠
drow_ranger_creep_rally | NO_NAME | 卓尔游侠
faceless_void_backtrack | NO_NAME | 虚空假面
furion_summon_fey | NO_NAME | 先知
furion_hedgerow | NO_NAME | 先知
furion_arboreal_might | NO_NAME | 先知
furion_natures_profit | NO_NAME | 先知
furion_fecundity | NO_NAME | 先知
hoodwink_mistwoods_wayfarer | NO_NAME | 森海飞霞
huskar_inner_vitality | NO_NAME | 哈斯卡
invoker_attribute_bonus | NO_NAME | 祈求者
keeper_of_the_light_empty1 | NO_NAME | 光之守卫
keeper_of_the_light_empty2 | NO_NAME | 光之守卫
keeper_of_the_light_mana_magnifier | NO_NAME | 光之守卫
kez_falcon_rush_ad | NO_NAME | 凯兹
kez_talon_toss_ad | NO_NAME | 凯兹
kez_shodo_sai_ad | NO_NAME | 凯兹
kez_ravens_veil_ad | NO_NAME | 凯兹
lich_dark_sorcery | NO_NAME | 巫妖
lich_frost_aura | NO_NAME | 巫妖
lich_frost_armor | NO_NAME | 巫妖
lone_druid_rabid | NO_NAME | 德鲁伊
lone_druid_spirit_bear_defender | NO_NAME | 德鲁伊
luna_lunar_grace | NO_NAME | 露娜
lycan_summon_wolves_bash | NO_NAME | 狼人
magnus_magnetic_horn | NO_NAME | 马格纳斯
magnus_strength_of_joelrak | NO_NAME | 马格纳斯
marci_guardian | NO_NAME | 玛西
meepo_geostrike | NO_NAME | 米波
muerta_dead_shot | NO_NAME | 琼英碧灵
muerta_the_calling | NO_NAME | 琼英碧灵
muerta_gunslinger | NO_NAME | 琼英碧灵
muerta_pierce_the_veil | NO_NAME | 琼英碧灵
muerta_supernatural | NO_NAME | 琼英碧灵
nyx_assassin_mana_burn | NO_NAME | 司夜刺客
obsidian_destroyer_essence_aura | NO_NAME | 殁境神蚀者
omniknight_repel | NO_NAME | 全能骑士
omniknight_pacify | NO_NAME | 全能骑士
oracle_prognosticate | NO_NAME | 神谕者
pangolier_heartpiercer | NO_NAME | 石鳞剑士
primal_beast_colossal | NO_NAME | 獸
primal_beast_innate_slow_resistance_per_time | NO_NAME | 獸
primal_beast_innate_status_resistance_per_time | NO_NAME | 獸
razor_unstable_current | NO_NAME | 剃刀
riki_permanent_invisibility | NO_NAME | 力丸
rubick_null_field | NO_NAME | 拉比克
shadow_demon_soul_catcher | NO_NAME | 暗影恶魔
shadow_shaman_innate_snake_jar | NO_NAME | 暗影萨满
shadow_shaman_innate_piglet_pole | NO_NAME | 暗影萨满
shredder_chakram_2 | NO_NAME | 伐木机
skeleton_king_bone_guard_damage_tracker | NO_NAME | 冥魂大帝
spirit_breaker_empowering_haste | NO_NAME | 裂魂人
tidehunter_arm_of_the_deep | NO_NAME | 潮汐猎人
tiny_rocksteady | NO_NAME | 小小
treant_lifebomb_explode | NO_NAME | 树精卫士
troll_warlord_innate_masterful | NO_NAME | 巨魔战将
dark_troll_warlord_ensnare | NO_NAME | 巨魔战将
dark_troll_warlord_raise_dead | NO_NAME | 巨魔战将
undying_tombstone_unit_grab | NO_NAME | 不朽尸王
ursa_overpower | NO_NAME | 熊战士
ursa_fury_swipes | NO_NAME | 熊战士
ursa_enrage | NO_NAME | 熊战士
ursa_maul | NO_NAME | 熊战士
venomancer_poison_nova | NO_NAME | 剧毒术士
venomancer_latent_poison | NO_NAME | 剧毒术士
viper_predator | NO_NAME | 冥界亚龙
has_outer_ring | NO_NAME | 虚无之灵
aether_remnant_count | NO_NAME | 虚无之灵
artifice_duration_override_tooltip | NO_NAME | 虚无之灵
artifice_pct_effectiveness_tooltip | NO_NAME | 虚无之灵
warlock_imp_explode_major | NO_NAME | 术士
warlock_black_grimoire | NO_NAME | 术士
winter_wyvern_winters_curse | NO_NAME | 寒冬飞龙
winter_wyvern_eldwurm_scholar | NO_NAME | 寒冬飞龙
